lead_id,market,beds,sqft,baths,age,lot_acres,school_score,month,true_U,true_value,day,v_hat,v_lo,v_hi,unc_halfwidth,v_hedonic,rate_dev,true_demand,urgency,has_agent_quote,repair_true,repair_est,analyst_id,in_experiment,exp_offset,v2,spread_algo,spread,offer,past_hpa_12m,true_self_apprec,true_seller_belief,true_log_reservation_net,true_k,true_accept_intercept,true_p_accept,accept,v_hat_resale,true_value_at_list,list_exp_offset,list_exp_arm,in_list_experiment,list_ratio,list_price,dom,sold_60d,true_p_sold_60d,sale_price,holding_cost,gross_profit,contribution,true_list_ratio_policy,seller_stated_value
14149,2,5,2840.0,3.5,47.3,0.256,5.5,9,1.0601284623049287,426973.81417365995,261,409815.175106352,361574.90771612566,450826.0142730156,0.11030612683694496,397129.2246721741,-0.00489602606695875,-0.38621310310188184,medium,0,7799.020431020083,10700.0,23,1,0.0,0,0.085122450734778,0.08256689470872874,344787.249937989,0.05,0.13294186926731855,487682.48836283426,12.970940884738992,22.0,0.655997362341908,0.01492500699986149,0,410170.17095325084,427343.67341746873,,,,,,,,,,,,,1.0273800161168658,492067.86944598233
8946,2,3,2269.0,1.5,12.4,0.137,7.8,3,0.6503818150465255,338012.9260477426,64,331597.9600536287,322430.2055703244,356243.5195091122,0.049863922293834406,342719.01637071226,0.004983223848256351,-0.713620570899331,low,0,1000.0,1100.0,10,0,0.0,0,0.06094556891753377,0.052278797447923485,296582.51946315897,0.05,0.05976344662920679,358829.5856937964,12.707265773211853,30.0,1.122995336614887,0.10982256956720693,0,331885.20148784015,338305.7243437401,,,,,,,,,,,,,0.9956549972510824,
22378,5,3,2065.0,1.5,40.3,0.144,5.0,11,0.09987619031551877,374616.55077393074,311,374435.95205242245,340390.76385709277,407649.5773185615,0.09015683155433152,374476.35349685943,-0.004115497781860921,-0.70166850223555,medium,0,8612.445956164865,8000.0,6,1,0.02,1,0.07706273262173262,0.10500701191529145,308395.75397111906,0.09,0.11894154888504613,421932.15055927535,12.829906368044918,22.0,0.6996597279563308,0.029391461965547806,0,375989.6434235076,376170.99152464594,,,,,,,,,,,,,0.9915317134143051,432892.00256304385
12162,4,4,2500.0,3.0,19.9,0.26,7.7,2,2.0073535430600242,552036.3783603188,53,503490.0505813344,453001.4498733309,548949.833051923,0.09605586623842388,492174.96090904163,0.004730516241497074,-1.3660858721820404,medium,1,1000.0,1100.0,19,0,0.0,0,0.07642234649536955,0.05872314374489633,447649.0294378548,0.02,-0.03323854818193889,533989.085039482,13.119591851283303,33.0,1.0977364141891943,0.07866997923762553,0,503888.7662987966,552473.538102421,,,,,,,,,,,,,1.0181053576145742,535319.3616157435
4879,1,3,1920.0,2.5,17.9,0.156,4.7,4,1.0438004669154084,272263.36802834773,107,261754.20859288098,242437.99528480254,284949.23496902164,0.08078252667549002,258595.33658564155,0.000921277826928071,0.7639076389151105,low,1,1902.7948899779642,1300.0,8,1,-0.02,0,0.07031301067019602,0.05302739412766478,233486.35457960726,0.03,0.044092119787984434,284536.62571849715,12.47594275041473,45.0,1.1408676371410373,0.017344128878275834,0,262204.8850879586,272732.1387163174,,,,,,,,,,,,,1.022553164852729,271151.6037796523
12710,3,2,1735.0,1.5,58.8,0.155,7.7,1,0.7704539338014913,335715.0405463916,365,302190.5428268659,275349.08036795794,331964.23381401773,0.09349377890013333,284452.03696234134,-0.0012304973019771955,-1.0305854729438058,high,0,6902.560359784586,8000.0,15,1,0.02,1,0.07239751156005333,0.10290369890896531,247984.49105333,0.07,0.0508979257666652,353244.5637781231,12.614707084991865,12.0,0.9000000000000001,0.19418745673550247,1,303134.8966423624,336764.1593457221,0.0,0.0,0.0,0.9906678158871332,300305.985975861,19.0,1.0,0.9998836166026793,296702.3141441507,3257.6140516736145,41815.262731036106,31140.090825758718,0.9906678158871332,
24595,2,4,2351.0,3.0,17.8,0.196,6.2,7,0.30599702000922535,370569.2949513772,202,365452.14578126965,340771.5460355836,385581.68342888146,0.061770380168566064,361300.7920578894,-0.003584412463707487,0.08119701922054312,medium,0,5525.704014050936,7200.0,13,0,0.0,0,0.06570815206742643,0.08015076818760097,310688.2682720302,0.05,0.0504559308786434,389746.4459236435,12.77019620355462,22.0,0.8176478794438675,0.12980644421349247,0,365768.7128629033,370890.2946817113,,,,,,,,,,,,,1.0148693632167913,385599.7919122058
308,5,4,2324.0,2.5,39.7,0.257,2.3,5,0.8550676383245697,449769.62476939266,131,384603.4281476746,354160.03772661113,421063.68345364014,0.08651759720268437,405495.8135325641,-0.0008417722778029371,1.0348467075887748,medium,0,6679.2904388807265,6500.0,14,0,0.0,0,0.07560703888107376,0.054783261168341944,337803.4266898371,0.09,0.08960784795364464,491933.40649188665,13.054607163896128,22.0,1.0937210103417603,0.002369251363489999,0,386199.30862957647,451635.9070565234,,,,,,,,,,,,,1.0415896239209113,502230.36234288994
4343,3,3,1979.0,2.0,34.2,0.163,5.5,4,0.5191714553057479,325900.4160440617,458,313054.1350869243,288931.673176358,343959.03995497775,0.08716617261067938,314841.3467791953,0.0005127745683612302,-1.7773851650030013,low,1,5815.294351139932,4400.0,12,0,0.0,1,0.06986646904427177,0.07429295635802735,269743.7111368652,0.07,0.09756484186083501,359299.64435944404,12.694034555816787,45.0,1.1498865701718395,0.000644476297574656,0,314032.43792910053,326918.8638700065,,,,,,,,,,,,,0.9916691659524077,360091.6558682799
18230,1,3,1888.0,2.0,21.2,0.206,4.8,2,0.72226993812651,271464.9035059174,412,262513.9620714562,239604.10981747968,281393.7279986864,0.08038341847414099,255099.44643385007,-0.0007195160934686633,1.1096750817303662,medium,1,1247.7886774755953,1500.0,8,0,0.0,1,0.07015336738965641,0.07900609165359873,227148.06182011656,0.03,0.015147915336468698,275608.3338180712,12.391582356734983,33.0,1.080911009573978,0.3014264163681707,1,262965.94667552924,271932.29943397647,0.0,0.0,0.0,1.0068248915257303,264760.6607365507,33.0,1.0,0.9874642688371946,261191.45164288935,3638.443514310383,32795.601145297194,22627.371339914578,1.0068248915257303,
